Species,Plot,Year,Date,Subplot,n.seed.inf,n.ind,Treat.Code,p.viable
Clarkia purpurea,15,2016,6/9/16,Grass,10,3,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,Grass,11,2,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,Grass,32,1,W,0.966666667
Hemizonia congesta,15,2016,9/2/16,Grass,2,2,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,Grass,2,1,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,Grass,2,3,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,Grass,3,4,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,Grass,3,5,W,0.71728972
Lasthenia californica,15,2016,5/9/16,Grass,89,2,W,0.545238095
Lasthenia californica,15,2016,5/9/16,Grass,82,1,W,0.545238095
Lasthenia californica,15,2016,5/22/16,Grass,18,3,W,0.545238095
Plantago erecta,15,2016,5/22/16,Grass,2,5,W,0.849557522
Plantago erecta,15,2016,5/22/16,Grass,2,4,W,0.849557522
Plantago erecta,15,2016,5/22/16,Grass,2,2,W,0.849557522
Plantago erecta,15,2016,5/22/16,Grass,2,1,W,0.849557522
Plantago erecta,15,2016,5/22/16,Grass,2,3,W,0.849557522
Agoseris heterophylla,15,2016,5/22/16,No Grass,67,7,W,0.954436451
Agoseris heterophylla,15,2016,5/22/16,No Grass,84,8,W,0.954436451
Agoseris heterophylla,15,2016,5/22/16,No Grass,88,9,W,0.954436451
Agoseris heterophylla,15,2016,5/9/16,No Grass,48,1,W,0.954436451
Agoseris heterophylla,15,2016,5/22/16,No Grass,71,10,W,0.954436451
Agoseris heterophylla,15,2016,5/22/16,No Grass,75,6,W,0.954436451
Agoseris heterophylla,15,2016,5/9/16,No Grass,79,5,W,0.954436451
Agoseris heterophylla,15,2016,5/9/16,No Grass,67,4,W,0.954436451
Agoseris heterophylla,15,2016,5/9/16,No Grass,29,3,W,0.954436451
Agoseris heterophylla,15,2016,5/9/16,No Grass,64,2,W,0.954436451
Clarkia purpurea,15,2016,6/23/16,No Grass,22,19,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,35,16,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,37,17,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,33,18,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,44,14,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,15,15,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,32,13,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,39,12,W,0.966666667
Clarkia purpurea,15,2016,6/23/16,No Grass,15,11,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,3,9,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,3,8,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,9,7,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,6,10,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,6,5,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,11,6,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,3,4,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,11,1,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,9,2,W,0.966666667
Clarkia purpurea,15,2016,6/9/16,No Grass,3,3,W,0.966666667
Hemizonia congesta,15,2016,9/2/16,No Grass,4,5,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,No Grass,3,3,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,No Grass,4,4,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,No Grass,3,2,W,0.71728972
Hemizonia congesta,15,2016,9/2/16,No Grass,3,1,W,0.71728972
Lasthenia californica,15,2016,5/9/16,No Grass,19,1,W,0.545238095
Lasthenia californica,15,2016,5/9/16,No Grass,21,2,W,0.545238095
Lasthenia californica,15,2016,5/9/16,No Grass,37,3,W,0.545238095
Lasthenia californica,15,2016,5/9/16,No Grass,43,4,W,0.545238095
Lasthenia californica,15,2016,5/9/16,No Grass,67,6,W,0.545238095
Lasthenia californica,15,2016,5/9/16,No Grass,63,7,W,0.545238095
Lasthenia californica,15,2016,5/22/16,No Grass,41,8,W,0.545238095
Lasthenia californica,15,2016,5/9/16,No Grass,62,5,W,0.545238095
Plantago erecta,15,2016,5/22/16,No Grass,2,5,W,0.849557522
Plantago erecta,15,2016,5/22/16,No Grass,2,4,W,0.849557522
Plantago erecta,15,2016,5/22/16,No Grass,2,2,W,0.849557522
Plantago erecta,15,2016,5/22/16,No Grass,2,3,W,0.849557522
Plantago erecta,15,2016,5/22/16,No Grass,2,1,W,0.849557522
Agoseris heterophylla,17,2016,5/22/16,Grass,52,7,W,0.954436451
Agoseris heterophylla,17,2016,5/22/16,Grass,37,5,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,Grass,33,4,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,Grass,40,2,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,Grass,18,3,W,0.954436451
Agoseris heterophylla,17,2016,5/22/16,Grass,25,6,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,Grass,51,1,W,0.954436451
Clarkia purpurea,17,2016,6/23/16,Grass,36,8,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,Grass,19,9,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,Grass,12,10,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,Grass,9,3,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,Grass,5,4,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,Grass,4,5,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,Grass,5,1,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,Grass,23,11,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,Grass,9,6,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,Grass,4,2,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,Grass,26,12,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,Grass,9,7,W,0.966666667
Hemizonia congesta,17,2016,9/2/16,Grass,2,5,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,Grass,2,3,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,Grass,2,4,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,Grass,2,2,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,Grass,2,1,W,0.71728972
Lasthenia californica,17,2016,5/9/16,Grass,50,1,W,0.545238095
Plantago erecta,17,2016,5/22/16,Grass,2,4,W,0.849557522
Plantago erecta,17,2016,5/22/16,Grass,2,5,W,0.849557522
Plantago erecta,17,2016,5/22/16,Grass,2,3,W,0.849557522
Plantago erecta,17,2016,5/22/16,Grass,2,1,W,0.849557522
Plantago erecta,17,2016,5/22/16,Grass,2,2,W,0.849557522
Agoseris heterophylla,17,2016,5/9/16,No Grass,71,6,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,54,4,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,53,5,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,45,3,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,44,2,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,36,1,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,51,7,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,49,8,W,0.954436451
Agoseris heterophylla,17,2016,5/9/16,No Grass,48,9,W,0.954436451
Clarkia purpurea,17,2016,6/23/16,No Grass,35,7,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,4,5,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,35,3,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,19,6,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,34,4,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,23,9,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,32,8,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,No Grass,11,1,W,0.966666667
Clarkia purpurea,17,2016,6/9/16,No Grass,11,2,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,48,12,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,13,10,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,15,11,W,0.966666667
Clarkia purpurea,17,2016,6/23/16,No Grass,17,13,W,0.966666667
