Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Clarkia purpurea,23,Grass,W,2016,5/20/16,1,4,3,1.2,0.447213595,5,18.5,22.2,30,0.966666667
Hemizonia congesta,23,Grass,W,2016,7/27/16,8,4,0,6.2,1.303840481,5,5,31,30,0.71728972
Lasthenia californica,23,Grass,W,2016,5/8/16,0,1,2,1,0,3,NA,NA,30,0.545238095
Plantago erecta,23,Grass,W,2016,4/24/16,0,26,0,5.4,2.966479395,5,2,10.8,30,0.849557522
Agoseris heterophylla,23,No Grass,W,2016,4/24/16,10,3,6,1,0,5,42.72727273,42.72727273,NA,0.954436451
Clarkia purpurea,23,No Grass,W,2016,5/20/16,1,9,11,2.6,1.140175425,5,27.5,71.5,NA,0.966666667
Hemizonia congesta,23,No Grass,W,2016,7/27/16,8,7,0,6,4.242640687,5,4,24,NA,0.71728972
Lasthenia californica,23,No Grass,W,2016,4/24/16,0,2,0,2,1.414213562,2,49,98,NA,0.545238095
Plantago erecta,23,No Grass,W,2016,5/8/16,0,25,0,14.4,7.368853371,5,2,28.8,NA,0.849557522
Agoseris heterophylla,29,Grass,W,2016,4/24/16,2,0,6,1,0,5,0,0,50,0.954436451
Clarkia purpurea,29,Grass,W,2016,5/20/16,0,0,16,1,0,5,11.54545455,11.54545455,50,0.966666667
Hemizonia congesta,29,Grass,W,2016,7/27/16,0,1,6,5.8,2.48997992,5,3.4,19.72,50,0.71728972
Lasthenia californica,29,Grass,W,2016,4/24/16,0,1,0,1,NA,1,NA,NA,50,0.545238095
Plantago erecta,29,Grass,W,2016,4/24/16,2,19,0,6.6,2.50998008,5,2,13.2,50,0.849557522
Agoseris heterophylla,29,No Grass,W,2016,4/24/16,4,1,14,1.4,0.547722558,5,45.4,63.56,NA,0.954436451
Clarkia purpurea,29,No Grass,W,2016,5/8/16,19,1,0,1.6,0.894427191,5,26.61111111,42.57777778,NA,0.966666667
Hemizonia congesta,29,No Grass,W,2016,7/27/16,5,2,1,9.4,4.50555213,5,3.6,33.84,NA,0.71728972
Lasthenia californica,29,No Grass,W,2016,4/24/16,0,3,0,1,0,3,46.33333333,46.33333333,NA,0.545238095
Plantago erecta,29,No Grass,W,2016,4/24/16,0,24,0,11.2,10.63954886,5,2,22.4,NA,0.849557522
Agoseris heterophylla,30,Grass,C,2016,4/24/16,0,0,16,1,0,5,5,5,35,0.954436451
Clarkia purpurea,30,Grass,C,2016,5/8/16,22,1,0,1,0,5,12.71428571,12.71428571,35,0.966666667
Hemizonia congesta,30,Grass,C,2016,7/27/16,5,6,3,4.4,2.19089023,5,3.8,16.72,35,0.71728972
Lasthenia californica,30,Grass,C,2016,4/24/16,0,2,0,1,0,2,NA,NA,35,0.545238095
Plantago erecta,30,Grass,C,2016,4/24/16,0,27,0,5.6,1.140175425,5,2,11.2,35,0.849557522
Agoseris heterophylla,30,No Grass,C,2016,5/8/16,0,1,15,2.8,1.303840481,5,26.33333333,73.73333333,NA,0.954436451
Clarkia purpurea,30,No Grass,C,2016,5/20/16,1,3,12,2.2,0.836660027,5,25.47058824,56.03529412,NA,0.966666667
Hemizonia congesta,30,No Grass,C,2016,7/27/16,2,2,4,8.25,4.787135539,4,4.2,34.65,NA,0.71728972
Lasthenia californica,30,No Grass,C,2016,4/24/16,0,1,0,2,NA,1,42,84,NA,0.545238095
Plantago erecta,30,No Grass,C,2016,4/24/16,0,24,0,7.6,3.507135583,5,2,15.2,NA,0.849557522
Agoseris heterophylla,37,Grass,W,2016,4/24/16,14,2,1,1.2,0.447213595,5,15,18,30,0.954436451
Clarkia purpurea,37,Grass,W,2016,5/20/16,1,4,10,1,0,5,12.09090909,12.09090909,30,0.966666667
Hemizonia congesta,37,Grass,W,2016,7/27/16,2,6,7,5.6,2.607680962,5,3.8,21.28,30,0.71728972
Plantago erecta,37,Grass,W,2016,5/20/16,0,0,4,18.25,7.455423082,4,2,36.5,30,0.849557522
